user_id,login_date
10000,2025-01-04
10000,2025-01-05
10001,2025-01-24
10002,2025-01-05
10002,2025-01-06
10003,2025-01-18
10004,2025-01-20
10004,2025-01-21
10004,2025-01-23
10004,2025-01-25
10004,2025-01-26
10004,2025-01-27
10004,2025-01-28
10004,2025-01-29
10004,2025-01-30
10004,2025-02-01
10004,2025-02-04
10004,2025-02-05
10004,2025-02-08
10004,2025-02-12
10004,2025-02-14
10004,2025-02-15
10004,2025-02-23
10004,2025-02-28
10004,2025-03-02
10004,2025-03-03
10005,2025-01-23
10005,2025-01-24
10005,2025-01-25
10005,2025-01-26
10005,2025-01-27
10005,2025-01-28
10005,2025-01-30
10005,2025-02-02
10005,2025-02-03
10005,2025-02-05
10005,2025-02-06
10005,2025-02-08
10005,2025-02-12
10005,2025-02-14
10005,2025-02-25
10005,2025-02-27
10005,2025-02-28
10005,2025-03-01
10005,2025-03-06
10005,2025-03-24
10006,2025-01-06
10007,2025-01-08
10008,2025-01-05
10008,2025-01-06
10008,2025-01-07
10008,2025-01-08
10008,2025-01-09
10008,2025-01-10
10008,2025-01-12
10008,2025-01-13
10008,2025-01-14
10008,2025-01-15
10008,2025-01-19
10008,2025-01-20
10008,2025-01-21
10008,2025-01-23
10008,2025-01-26
10008,2025-02-01
10008,2025-02-06
10008,2025-02-07
10008,2025-02-10
10008,2025-02-16
10008,2025-02-19
10009,2025-01-21
10009,2025-01-22
10009,2025-01-23
10009,2025-01-24
10009,2025-01-25
10009,2025-01-26
10009,2025-01-27
10009,2025-01-28
10009,2025-01-30
10009,2025-01-31
10009,2025-02-07
10009,2025-02-08
10009,2025-02-09
10009,2025-02-10
10009,2025-02-14
10009,2025-02-15
10009,2025-02-22
10009,2025-02-27
10009,2025-03-01
10009,2025-03-04
10009,2025-03-08
10009,2025-03-10
10010,2025-01-15
10011,2025-01-25
10011,2025-01-26
10011,2025-01-27
10011,2025-01-30
10011,2025-01-31
10011,2025-02-01
10011,2025-02-02
10011,2025-02-03
10011,2025-02-05
10011,2025-02-07
10011,2025-02-11
10011,2025-02-13
10011,2025-02-14
10011,2025-02-18
10011,2025-02-22
10011,2025-02-26
10011,2025-03-11
10011,2025-03-13
10012,2025-01-14
10012,2025-01-15
10012,2025-01-16
10012,2025-01-19
10012,2025-01-21
10012,2025-01-22
10012,2025-01-23
10012,2025-01-25
10012,2025-01-28
10012,2025-01-29
10012,2025-02-02
