user_id,install_date,channel,inviter_id,activated
13090,2025/1/1,Organic_Search,,0
12447,2025/1/1,Organic_Search,,0
26889,2025/1/1,Friend_Referral,13090,1
22179,2025/1/1,Baidu_SEM,,1
22183,2025/1/1,AppStore,,1
26879,2025/1/1,Organic_Search,,0
16754,2025/1/1,Organic_Search,,1
10594,2025/1/1,TikTok_Ads,,0
26855,2025/1/1,TikTok_Ads,,0
10596,2025/1/1,TikTok_Ads,,0
22146,2025/1/1,Organic_Search,,0
22220,2025/1/1,AppStore,,1
26826,2025/1/1,Baidu_SEM,,0
11419,2025/1/1,AppStore,,1
14728,2025/1/1,AppStore,,1
26788,2025/1/1,Organic_Search,,1
26783,2025/1/1,TikTok_Ads,,0
11413,2025/1/1,Baidu_SEM,,1
16723,2025/1/1,Organic_Search,,1
22317,2025/1/1,AppStore,,1
22331,2025/1/1,Baidu_SEM,,0
22261,2025/1/1,TikTok_Ads,,1
12813,2025/1/1,Baidu_SEM,,1
16781,2025/1/1,Baidu_SEM,,0
22130,2025/1/1,Baidu_SEM,,0
10550,2025/1/1,AppStore,,0
16904,2025/1/1,Friend_Referral,22179,1
21866,2025/1/1,Baidu_SEM,,1
27040,2025/1/1,Organic_Search,,0
21878,2025/1/1,Baidu_SEM,,0
21896,2025/1/1,TikTok_Ads,,1
12827,2025/1/1,TikTok_Ads,,1
21963,2025/1/1,Friend_Referral,26879,1
10564,2025/1/1,Baidu_SEM,,0
16881,2025/1/1,TikTok_Ads,,1
21994,2025/1/1,TikTok_Ads,,1
10568,2025/1/1,AppStore,,0
22004,2025/1/1,Friend_Referral,16781,1
22016,2025/1/1,Baidu_SEM,,0
26961,2025/1/1,AppStore,,0
16860,2025/1/1,Baidu_SEM,,0
22040,2025/1/1,Baidu_SEM,,0
14669,2025/1/1,AppStore,,0
16832,2025/1/1,Organic_Search,,1
12818,2025/1/1,Organic_Search,,0
12443,2025/1/1,TikTok_Ads,,0
10617,2025/1/1,TikTok_Ads,,1
22388,2025/1/1,AppStore,,1
26749,2025/1/1,Organic_Search,,1
16690,2025/1/1,TikTok_Ads,,1
16543,2025/1/1,TikTok_Ads,,0
26486,2025/1/1,TikTok_Ads,,1
22785,2025/1/1,AppStore,,0
12503,2025/1/1,TikTok_Ads,,0
26426,2025/1/1,Friend_Referral,26749,0
22846,2025/1/1,Organic_Search,,0
26396,2025/1/1,Friend_Referral,21866,1
26383,2025/1/1,TikTok_Ads,,1
26371,2025/1/1,TikTok_Ads,,1
26370,2025/1/1,Baidu_SEM,,0
14886,2025/1/1,Organic_Search,,1
22898,2025/1/1,AppStore,,0
14902,2025/1/1,TikTok_Ads,,0
16492,2025/1/1,Baidu_SEM,,1
11318,2025/1/1,TikTok_Ads,,1
12770,2025/1/1,Organic_Search,,1
26275,2025/1/1,Baidu_SEM,,0
10692,2025/1/1,Baidu_SEM,,0
26268,2025/1/1,Organic_Search,,1
22916,2025/1/1,TikTok_Ads,,1
22935,2025/1/1,TikTok_Ads,,1
26494,2025/1/1,Baidu_SEM,,1
21830,2025/1/1,Organic_Search,,0
16550,2025/1/1,Baidu_SEM,,0
26522,2025/1/1,TikTok_Ads,,0
14790,2025/1/1,TikTok_Ads,,1
26705,2025/1/1,Friend_Referral,10568,1
16679,2025/1/1,TikTok_Ads,,1
22453,2025/1/1,TikTok_Ads,,0
22517,2025/1/1,Baidu_SEM,,1
12797,2025/1/1,TikTok_Ads,,1
22570,2025/1/1,Friend_Referral,26268,1
22581,2025/1/1,Organic_Search,,0
16627,2025/1/1,TikTok_Ads,,1
26613,2025/1/1,TikTok_Ads,,0
26609,2025/1/1,Organic_Search,,1
22621,2025/1/1,Friend_Referral,16723,0
16614,2025/1/1,TikTok_Ads,,1
12486,2025/1/1,TikTok_Ads,,0
14845,2025/1/1,TikTok_Ads,,1
22651,2025/1/1,AppStore,,1
16598,2025/1/1,Friend_Referral,26889,0
12489,2025/1/1,TikTok_Ads,,1
14852,2025/1/1,Baidu_SEM,,1
26568,2025/1/1,TikTok_Ads,,0
22695,2025/1/1,Organic_Search,,1
22724,2025/1/1,Organic_Search,,0
26258,2025/1/1,Baidu_SEM,,1
21829,2025/1/1,Organic_Search,,0
16913,2025/1/1,AppStore,,1
21045,2025/1/1,TikTok_Ads,,0
11626,2025/1/1,TikTok_Ads,,0
21051,2025/1/1,AppStore,,1
21052,2025/1/1,Baidu_SEM,,1
27619,2025/1/1,AppStore,,0
17195,2025/1/1,TikTok_Ads,,0
21066,2025/1/1,AppStore,,0
12877,2025/1/1,TikTok_Ads,,1
21078,2025/1/1,AppStore,,0
21044,2025/1/1,TikTok_Ads,,1
27595,2025/1/1,Baidu_SEM,,1
21079,2025/1/1,AppStore,,1
17163,2025/1/1,AppStore,,1
11604,2025/1/1,Organic_Search,,0
17149,2025/1/1,Organic_Search,,0
21174,2025/1/1,Organic_Search,,1
27513,2025/1/1,TikTok_Ads,,1
21179,2025/1/1,AppStore,,0
14411,2025/1/1,Baidu_SEM,,0
21198,2025/1/1,TikTok_Ads,,1
17194,2025/1/1,Organic_Search,,0
14377,2025/1/1,Organic_Search,,1
27640,2025/1/1,Baidu_SEM,,1
21040,2025/1/1,Baidu_SEM,,0
17309,2025/1/1,Baidu_SEM,,1
27816,2025/1/1,AppStore,,1
27785,2025/1/1,TikTok_Ads,,1
17262,2025/1/1,AppStore,,0
17238,2025/1/1,AppStore,,1
20900,2025/1/1,AppStore,,1
20912,2025/1/1,Organic_Search,,0
20913,2025/1/1,TikTok_Ads,,0
27726,2025/1/1,Organic_Search,,1
27725,2025/1/1,TikTok_Ads,,1
